Name,Address,Latitude,Longitude,Venituri,Density,Trafic
Vacanță de iarnă,"Bulevardul 1 Mai Nr. 66A, Berceni",44.32551029999999,26.1768335,2500,8.465529411764706,0.059655294117647
Cătălin Ilie,"Carrefour Market Langa intrarea din strada, Bulevardul 1 Mai 61, Berceni",44.3254325,26.1767725,2500,8.465529411764706,0.059655294117647
Carrefour,"Bulevardul 1 Mai 61 E, Berceni",44.3254088,26.1768315,2500,8.465529411764706,0.059655294117647
Mega Image,"Bulevardul 1 Mai Nr. 66A, Berceni",44.32504369999999,26.1763031,2500,8.465529411764706,0.059655294117647
Angela,"Bulevardul 1 Mai Nr. 66A, Berceni",44.3249958,26.1762863,2500,8.465529411764706,0.059655294117647
Mega Image,"Strada Sfântul Gheorghe 4, Popești-Leordeni",44.3816039,26.1535536,3000,10.157941176470588,0.0715794117647058
Penny,"Bulevardul 1 Mai 68, Berceni",44.323571,26.1776167,2500,8.465529411764706,0.059655294117647
Produs in Bucovina,"Șoseaua Olteniței 11a, Popești-Leordeni",44.3818813,26.15157319999999,2500,8.465529411764706,0.059655294117647
Supermarket La Lupu,"Strada Sportului, Berceni",44.3186454,26.1908177,3000,10.157941176470588,0.0715794117647058
Ideal Market,"Libertății, Cățelu",44.4022576,26.2201798,3000,10.157941176470588,0.0715794117647058
Auchan,"Bulevardul Iuliu Maniu 536, București",44.4403775,25.98212779999999,2400,7.515133333333334,0.0511513333333333
Carrefour,"Bulevardul Iuliu Maniu 19, București",44.43290880000001,26.037459,2400,7.515133333333334,0.0511513333333333
Lidl,"Bulevardul Iuliu Maniu 8B, București",44.434815,26.043307,2400,7.515133333333334,0.0511513333333333
Lidl,"Strada Valea Cascadelor 3-5, București",44.4308203,26.0053519,2400,7.515133333333334,0.0511513333333333
Lidl,"Strada Moinești 63, București",44.4273186,26.0161017,2400,7.515133333333334,0.0511513333333333
Carrefour,"Strada Complexului 1, Chiajna",44.4391121,25.95646499999999,2400,7.515133333333334,0.0511513333333333
Mega Image,"Bulevardul Timișoara 26, București",44.4282861,26.0343707,2400,7.515133333333334,0.0511513333333333
Profi,"Bloc C63, Bulevardul Ghencea 38, București",44.4153932,26.0437224,2400,7.515133333333334,0.0511513333333333
Profi,"Drumul Taberei 90, București",44.4188942,26.0190066,2400,7.515133333333334,0.0511513333333333
Profi,"Strada Bârsănești 2b, București",44.433056,26.010366,2400,7.515133333333334,0.0511513333333333
Mega Image,"Prelungirea Ghencea 89B, București",44.4113942,26.0156602,2400,7.515133333333334,0.0511513333333333
Lidl,"Prelungirea Ghencea, Strada 88-92, București",44.4118266,26.0070991,2400,7.515133333333334,0.0511513333333333
Mega Image,"Prelungirea Ghencea 53bis, Bragadiru",44.4072464,25.9893935,2400,7.515133333333334,0.0511513333333333
Domino,"Prelungirea Ghencea 89B, București",44.4115247,26.0158564,2400,7.515133333333334,0.0511513333333333
Lidl,"Strada Valea Oltului 93-107, București",44.41714219999999,26.0126257,2400,7.515133333333334,0.0511513333333333
Mega Image,"Strada Cireșar 12, Bragadiru",44.403759,25.9849385,2400,7.515133333333334,0.0511513333333333
Mega Image,"Strada Valea Argeșului 5, București",44.41567879999999,26.01749359999999,2400,7.515133333333334,0.0511513333333333
Kaufland,"Strada Valea Oltului 195, București",44.4221253,26.0117054,2400,7.515133333333334,0.0511513333333333
ANDRA TOTAL 2001,"Bloc C3, Strada Râul Doamnei 3, București",44.4140005,26.0244559,2400,7.515133333333334,0.0511513333333333
Mega Image,"Bloc C3, Strada Râul Doamnei 3, București",44.4142132,26.0244066,2400,7.515133333333334,0.0511513333333333
Mega Image,"Bloc C15, Drumul Taberei 80, București",44.4226878,26.0218444,2400,7.515133333333334,0.0511513333333333
Profi,"Bulevardul Timișoara 73, București",44.4259174,26.0183565,2400,7.515133333333334,0.0511513333333333
Carrefour,"Bulevardul, Drumul Taberei Nr. 124, București",44.4169345,26.0277133,2400,7.515133333333334,0.0511513333333333
Carrefour,"Strada Chilia Veche 2, București",44.4171233,26.0284219,2400,7.515133333333334,0.0511513333333333
Kaufland,"Strada Valea Cascadelor 3, București",44.4317444,26.00628889999999,2400,7.515133333333334,0.0511513333333333
Lidl,"Prelungirea Ghencea 15B, București",44.4138156,26.0320894,2400,7.515133333333334,0.0511513333333333
Mega Image,"Strada Romancierilor 5, București",44.4260086,26.0243919,2400,7.515133333333334,0.0511513333333333
Mega Image,"Bulevardul Iuliu Maniu 246, București",44.4341144,25.9991293,2400,7.515133333333334,0.0511513333333333
Domino,"Bulevardul Iuliu Maniu 73, București",44.4337139,26.0129239,2400,7.515133333333334,0.0511513333333333
Auchan,"Strada Brașov 25, București",44.4169337,26.0359604,2400,7.515133333333334,0.0511513333333333
Mega Image,"Strada Mărgelelor 11, București",44.436262,26.0083262,2400,7.515133333333334,0.0511513333333333
KFC,"Bulevardul Iuliu Maniu 560, București",44.4356699,25.9842216,2400,7.515133333333334,0.0511513333333333
Lidl,"Bulevardul Timișoara 42C, București",44.4279096,26.0309822,2400,7.515133333333334,0.0511513333333333
Kaufland,"Bulevardul 1 Mai 55, București",44.4176395,26.0390045,2400,7.515133333333334,0.0511513333333333
Mega Image,"Strada Apusului 50, București",44.4379485,26.0139444,2400,7.515133333333334,0.0511513333333333
Mega Image,"Strada Ghirlandei 32-34, București",44.43850079999999,26.017529,2400,7.515133333333334,0.0511513333333333
KFC,"Bulevardul Iuliu Maniu 19, București",44.4334394,26.0370997,2400,7.515133333333334,0.0511513333333333
Carrefour,"Bulevardul Iuliu Maniu Nr. 78, 78-80, București",44.43455489999999,26.02845699999999,2400,7.515133333333334,0.0511513333333333
Mega Image,"Bulevardul Iuliu Maniu 51, București",44.43357410000001,26.0338456,2400,7.515133333333334,0.0511513333333333
Mega Image,"Bulevardul 1 Mai 18B, București",44.41963670000001,26.0476015,2400,7.515133333333334,0.0511513333333333
Mega Image,"Drumul Taberei 24, București",44.42472,26.0464771,2400,7.515133333333334,0.0511513333333333
Lidl,"Bulevardul Uverturii 202-204, București",44.4448038,26.0204798,2400,7.515133333333334,0.0511513333333333
Mega Image,"Strada Rezervelor 72, Roșu",44.4458768,25.98296109999999,2400,7.515133333333334,0.0511513333333333
Profi,"str. Orsova, nr. 9а, București",44.44098959999999,26.0326679,2400,7.515133333333334,0.0511513333333333
Mega Image,"Strada Apeductului 26, Roșu",44.4478671,25.9946538,2400,7.515133333333334,0.0511513333333333
Mega Image,"Strada Soarelui 1, Dudu",44.4481149,25.9868905,2400,7.515133333333334,0.0511513333333333
"August™ Orizont - coffee, drinks, food","Drumul Taberei 18, București",44.4255179,26.0516518,2400,7.515133333333334,0.0511513333333333
Mega Image,"Strada Mărgeanului 49, București",44.4078077,26.05866,2700,8.48671875,0.0578671875
Mega Image,"Strada Dâmbovița 40, București",44.4454947,26.0328765,2400,7.515133333333334,0.0511513333333333
Profi,"Strada Cernișoara 45, București",44.43912379999999,26.0227185,2400,7.515133333333334,0.0511513333333333
Carrefour,"Strada Brașov nr.23A, București",44.4189719,26.0358227,2400,7.515133333333334,0.0511513333333333
Auchan,"Bulevardul General Paul Teodorescu 4, București",44.43026649999999,26.0533829,2400,7.515133333333334,0.0511513333333333
Lidl,"Strada Rezervelor 71, Roșu",44.4446777,25.9883952,2400,7.515133333333334,0.0511513333333333
Mega Image,"Bulevardul Uverturii 83, București",44.4391866,26.028051,2400,7.515133333333334,0.0511513333333333
Kaufland,"Strada Mihail Sebastian 88C, București",44.4167928,26.0712811,2700,8.48671875,0.0578671875
Penny,"Năsăud Shopping Center, Strada Năsăud 97, București",44.4100163,26.0786149,2700,8.48671875,0.0578671875
Carrefour,"Bulevardul Corneliu Coposu 2, București",44.4288045,26.1057585,2800,9.677894736842106,0.068778947368421
Coral Market,"Strada Bârcă 9, București",44.4104447,26.0638061,2700,8.48671875,0.0578671875
Mega Image,"Strada Novaci 8, București",44.41680489999999,26.0644542,2700,8.48671875,0.0578671875
Mega Image,"Strada Ileana Cosânzeana 25, București",44.4131922,26.07029,2700,8.48671875,0.0578671875
Mega Image,"Strada Mihail Sebastian 138-140, București",44.4216263,26.0654441,2700,8.48671875,0.0578671875
Carrefour,"Strada Mihail Sebastian 88, București",44.41827319999999,26.07206489999999,2700,8.48671875,0.0578671875
Lidl,"Strada Sergent Nuțu Ion 12, București",44.4248793,26.0639441,2700,8.48671875,0.0578671875
Profi,"Șoseaua Sălaj 133, București",44.40591149999999,26.0748861,2700,8.48671875,0.0578671875
Kaufland,"Calea Ferentari 62, București",44.4067994,26.0773513,2700,8.48671875,0.0578671875
Domino,"Șoseaua Panduri 71, București",44.4274499,26.0656652,2700,8.48671875,0.0578671875
Carrefour,"Șoseaua Panduri Nr. 71, București",44.4273064,26.0661214,2700,8.48671875,0.0578671875
Mega Image,"Bulevardul Tudor Vladimirescu 127, București",44.4227712,26.07297539999999,2700,8.48671875,0.0578671875
Lidl,"Strada Doina 8, București",44.40963199999999,26.080187,2700,8.48671875,0.0578671875
KFC,"Strada Progresului 151-171, București",44.4154321,26.08024159999999,2700,8.48671875,0.0578671875
Mega Image,"Piața Cotroceni, Piaţa Cotroceni, Strada Sfântul Elefterie 47-49, București",44.4324372,26.0715839,2700,8.48671875,0.0578671875
La Doi Pasi,"Calea Șerban Vodă 272, București",44.40690600000001,26.0949712,2700,8.48671875,0.0578671875
Domino,"Calea Șerban Vodă 276A, București",44.4067007,26.0951704,2700,8.48671875,0.0578671875
KFC,"Calea Moșilor 219, București",44.44354620000001,26.1186273,2800,9.677894736842106,0.068778947368421
Carrefour,"Strada Dristorului nr.91-95, București",44.4229019,26.1388846,3000,10.157941176470588,0.0715794117647058
KFC,"Bulevardul General Gheorghe Magheru 28-30, București",44.4450182,26.0981703,3500,5.668220588235294,0.0216822058823529
