Name,Address,Latitude,Longitude,Income,Density,Trafic
Franprix,"30 Rue Monttessuy, Juvisy-sur-Orge",48.6873648,2.3845494,17.09,25.036783216783217,23.327783216783217
MONOP'DAILY,"Terminal Orly Jonction, Orly",48.7262397,2.365317,17.09,25.036783216783217,23.327783216783217
Franprix,"42 Avenue de Provence, Viry-Châtillon",48.668475,2.3608116,17.09,25.036783216783217,23.327783216783217
LTMA,"Avenue Henri Dunant, Athis-Mons",48.7138302,2.3964974,17.09,25.036783216783217,23.327783216783217
Total Petrol Station Access,"108 Boulevard du Général de Gaulle, Draveil",48.6864664,2.403159,17.09,25.036783216783217,23.327783216783217
Intermarche Morsang Sur Orge,"26 Avenue du Commandant Barre, Morsang-sur-Orge",48.6623942,2.3597763,17.09,25.036783216783217,23.327783216783217
cocciMarket,"24 Rue du Port aux Dames, Draveil",48.6804542,2.4007004,17.09,25.036783216783217,23.327783216783217
Marché Entrepôt Grigny,"9 Rue des Halles, Grigny",48.670235,2.393732,17.09,25.036783216783217,23.327783216783217
Intermarche Vigneux,"5 Avenue Henri Barbusse, Vigneux-sur-Seine",48.69756570000001,2.4147264,19.02,22.14341692789969,20.24141692789969
Le Marché D'à Côté( TYN JUVISY),"56 Avenue de la Cour de France, Juvisy-sur-Orge",48.6970846,2.3720377,17.09,25.036783216783217,23.327783216783217
Marché Turquoise,"123 Avenue François Mitterrand, Athis-Mons",48.707448,2.3710566,17.09,25.036783216783217,23.327783216783217
MS Stars Market,"31 Avenue Jules Vallès, Athis-Mons",48.70018839999999,2.3755773,17.09,25.036783216783217,23.327783216783217
cocciMarket,"12 Avenue d'Estienne d'Orves, Juvisy-sur-Orge",48.6907091,2.3807272,17.09,25.036783216783217,23.327783216783217
Sep Exotique Alimentation Générale,"3 Rue Pierre Semard, Juvisy-sur-Orge",48.6888429,2.382149999999999,17.09,25.036783216783217,23.327783216783217
Libre service de la gare,"21 Rue de Draveil, Juvisy-sur-Orge",48.68904490000001,2.384360999999999,17.09,25.036783216783217,23.327783216783217
CocciMarket,"36 Rue Monttessuy, Juvisy-sur-Orge",48.68843529999999,2.385112,17.09,25.036783216783217,23.327783216783217
CocciMarket,"1 Rue Sophie et Hans Scholl, Juvisy-sur-Orge",48.691709,2.387391500000001,17.09,25.036783216783217,23.327783216783217
Juvisydis,"30 Rue Monttessuy, Juvisy-sur-Orge",48.6873648,2.3845494,17.09,25.036783216783217,23.327783216783217
Shathi Marché,"37 Rue du Mail, Savigny-sur-Orge",48.67290149999999,2.3508512,17.09,25.036783216783217,23.327783216783217
RELAY Monop’daily,"3 Avenue Ouest, Paray-Vieille-Poste",48.7273109,2.3635426,17.09,25.036783216783217,23.327783216783217
Carrefour City Orly 1,"Aéroport de Paris-Orly, Aérogare 1 niveau départs – Zone publique, Orly",48.72935390000001,2.3593524,17.09,25.036783216783217,23.327783216783217
Supérette du Quartier (SARL),"39 Boulevard Husson, Viry-Châtillon",48.67669949999999,2.3801041,17.09,25.036783216783217,23.327783216783217
Soori supermarché exotique,"7 Rue Henri Barbusse, Viry-Châtillon",48.6733077,2.3763812,17.09,25.036783216783217,23.327783216783217
LE GOÛT DE TRANSYLVANIE,"26 Boulevard du Général de Gaulle, Draveil",48.6875613,2.3948476,17.09,25.036783216783217,23.327783216783217
Marché d'à Côté,"73 Avenue du Commandant Barre, Viry-Châtillon",48.6613672,2.3633628,17.09,25.036783216783217,23.327783216783217
Votre Marché,"18 Place de la République, Draveil",48.685899,2.4096158,17.09,25.036783216783217,23.327783216783217
Draveil Alimentation,"18 Place de la République, Draveil",48.6858465,2.4096025,17.09,25.036783216783217,23.327783216783217
Marché d'à Côté,"276 Boulevard Henri Barbusse, Draveil",48.6920039,2.4124484,17.09,25.036783216783217,23.327783216783217
Franprix,"12 Place du 14 Juillet, Vigneux-sur-Seine",48.7055616,2.4227322,19.02,22.14341692789969,20.24141692789969
Vival,"124-126, Avenue Henri Barbusse, Vigneux-sur-Seine",48.702076,2.4272735,19.02,22.14341692789969,20.24141692789969
TotalEnergies,"70 Boulevard Henri Barbusse, Draveil",48.6764631,2.4113016,17.09,25.036783216783217,23.327783216783217
Franprix,"55 Rue du Général de Gaulle, Villeneuve-le-Roi",48.7350442,2.4215683,19.02,22.14341692789969,20.24141692789969
Franprix,"2 Rue Henri Janin, Villeneuve-Saint-Georges",48.7293552,2.4478205,19.02,22.14341692789969,20.24141692789969
Total Petrol Station Access,"17 Route de Corbeil, Grigny",48.656676,2.3841243,17.09,25.036783216783217,23.327783216783217
SUPERMARCHÉ G20,"6 Place des Quatre Saisons, Vigneux-sur-Seine",48.70010040000001,2.4169552,19.02,22.14341692789969,20.24141692789969
France Market,"276B Boulevard Henri Barbusse, Draveil",48.69197310000001,2.4124852,17.09,25.036783216783217,23.327783216783217
Sris Exotique,"3 Place Gabriel Fauré, Vigneux-sur-Seine",48.7085744,2.4161736,19.02,22.14341692789969,20.24141692789969
KVTP Premier Exotic,"27 Avenue de la Concorde, Vigneux-sur-Seine",48.7053465,2.421217,19.02,22.14341692789969,20.24141692789969
cocciMarket,"2 Rue Jean Corringer, Vigneux-sur-Seine",48.7061412,2.4235652,19.02,22.14341692789969,20.24141692789969
Proxi,"6 Rue du Chemin Vert, Vigneux-sur-Seine",48.6920232,2.4313629,19.02,22.14341692789969,20.24141692789969
Superette du Lac,"52 Bis Rue Jean Corringer, Vigneux-sur-Seine",48.7084036,2.4315449,19.02,22.14341692789969,20.24141692789969
Marché d'à Côté,"100 Avenue Jean Jaurès, Montgeron",48.7130392,2.4488028,19.02,22.14341692789969,20.24141692789969
Station Service Eni,"32 Avenue le Foll, Villeneuve-le-Roi",48.72875519999999,2.4318692,19.02,22.14341692789969,20.24141692789969
Épicerie Rapid market,"13 Rue Jules Ferry 13, Villeneuve-le-Roi",48.7345895,2.4148053,19.02,22.14341692789969,20.24141692789969
Rapid Market,"6 Place Jeanne d'Arc, Villeneuve-le-Roi",48.732915,2.4244623,19.02,22.14341692789969,20.24141692789969
Anju Mini Marche,"1 Avenue Charles de Gaulle, Montgeron",48.6964035,2.4554028,19.02,22.14341692789969,20.24141692789969
Frais,"66 Rue du Général de Gaulle, Villeneuve-le-Roi",48.73535880000001,2.4204819,19.02,22.14341692789969,20.24141692789969
PROXI SUPER,"1 Route d'Orly, Villeneuve-le-Roi",48.7392889,2.4068282,19.02,22.14341692789969,20.24141692789969
Marché d'à Côté,"31 Rue de Paris, Villeneuve-Saint-Georges",48.72674,2.445936,19.02,22.14341692789969,20.24141692789969
coccinelle express,"3 Rue Edmond Bonté, Ris-Orangis",48.6598313,2.4146218,17.09,25.036783216783217,23.327783216783217
Franprix,"46 Rue de Montgeron, Brunoy",48.6927628,2.492496899999999,19.02,22.14341692789969,20.24141692789969
STATION BP BRUNOY,"5 Boulevard Charles de Gaulle, Brunoy",48.694588,2.504505,19.02,22.14341692789969,20.24141692789969
Franprix,"85 Avenue du Président John Fitzgerald Kennedy, Villeneuve-Saint-Georges",48.73561840000001,2.464985,19.02,22.14341692789969,20.24141692789969
EPICERIE 91,"39 Rue Paul Doumer, Yerres",48.7168991,2.5060475,19.02,22.14341692789969,20.24141692789969
MONOPRIX,"12-14 Rue Philisbourg, Brunoy",48.6980219,2.506847,19.02,22.14341692789969,20.24141692789969
Assab Elhassan,"164 Avenue de la République, Montgeron",48.7000275,2.4675369,19.02,22.14341692789969,20.24141692789969
Marché d'à Côté,"30 Avenue Jean Jaurès, Crosne",48.71430910000001,2.4618818,19.02,22.14341692789969,20.24141692789969
Yathu mini marché,"65 Avenue Jean Jaurès, Crosne",48.7183098,2.4562472,19.02,22.14341692789969,20.24141692789969
Franprix,"8 Avenue du Président Salvador Allende, Crosne",48.7219261,2.4699263,19.02,22.14341692789969,20.24141692789969
Marché d'à Côté,"45 Rue Gabriel Péri, Yerres",48.708926,2.4887747,19.02,22.14341692789969,20.24141692789969
GRIFFON,"44 Rue de Montgeron, Brunoy",48.69276600000001,2.4922267,19.02,22.14341692789969,20.24141692789969
Franprix,"50 Rue Charles de Gaulle, Yerres",48.7165164,2.4892167,19.02,22.14341692789969,20.24141692789969
Kadi Exotique,"45 Avenue du Président John Fitzgerald Kennedy, Villeneuve-Saint-Georges",48.7320497,2.459651,19.02,22.14341692789969,20.24141692789969
Entremise market,"27 Rue Émile Zola, Villeneuve-Saint-Georges",48.73552220000001,2.4497052,19.02,22.14341692789969,20.24141692789969
O Panier Frais,"1 Rue Francis Martin, Villeneuve-Saint-Georges",48.735705,2.4517263,19.02,22.14341692789969,20.24141692789969
Marché d'à Côté,"85 Avenue du Président John Fitzgerald Kennedy, Villeneuve-Saint-Georges",48.735654,2.4648347,19.02,22.14341692789969,20.24141692789969
COCCIMARKET,"127 Rue Gambetta, Villeneuve-Saint-Georges",48.7370589,2.4617595,19.02,22.14341692789969,20.24141692789969
Mail Supermarche,"Avenue du Président Wilson, Villeneuve-Saint-Georges",48.739657,2.4469867,19.02,22.14341692789969,20.24141692789969
Marché d'à Côté,"39 Rue Paul Doumer, Yerres",48.716893,2.506053,19.02,22.14341692789969,20.24141692789969
La Supérette de la Gare,"5 Rue de la Gare, Villeneuve-le-Roi",48.73961209999999,2.4255846,19.02,22.14341692789969,20.24141692789969
Y Y S SUPERMARCHE,"35b Avenue Anatole France, Villeneuve-Saint-Georges",48.74103969999999,2.4521966,19.02,22.14341692789969,20.24141692789969
Intermarche Villecresnes,"Rue du Salle, Villecresnes",48.709177,2.526986,19.02,22.14341692789969,20.24141692789969
Franprix,"1 Avenue Victor Hugo, Épinay-sous-Sénart",48.697657,2.524900999999999,19.02,22.14341692789969,20.24141692789969
Franprix,"6 Rue de la Ferme, Boussy-Saint-Antoine",48.69043519999999,2.5294455,19.02,22.14341692789969,20.24141692789969
