Name,Address,Latitude,Longitude,Income,Density,Traffic
Burlington,"410 Gateway Drive, Brooklyn",40.65266889999999,-73.8728718,82604.0,1125.998160073597,1.0433941600735972
Super Savings Dept Store & Furniture,"691 New Lots Avenue, Brooklyn",40.665784,-73.8844711,38285.0,1245.936599423631,1.207651599423631
Brothers 99¢ Plus & Hardware Corp,"1134 Liberty Avenue, Brooklyn",40.67845490000001,-73.8674279,75207.0,1318.4636614535418,1.243256661453542
Kenny's Department Store,"1181 Liberty Avenue, Brooklyn",40.679123,-73.8657511,75207.0,1318.4636614535418,1.243256661453542
Marshalls,"9210 Rockaway Boulevard, Ozone Park",40.680415,-73.846622,75207.0,1318.4636614535418,1.243256661453542
DII Deals & Discounts,"80-25 Jamaica Avenue, Woodhaven",40.6923466,-73.8616347,75207.0,1318.4636614535418,1.243256661453542
Family Discount Department stores,"93-10 Rockaway Boulevard, Ozone Park",40.6805057,-73.84571989999999,75207.0,1318.4636614535418,1.243256661453542
DII Deals & Discounts,"104-11 Liberty Avenue, Ozone Park",40.68244929999999,-73.83647909999999,75207.0,1318.4636614535418,1.243256661453542
Sunshine Pharmacy Inc.,"80-03 Atlantic Avenue, Woodhaven",40.68515499999999,-73.86028,75207.0,1318.4636614535418,1.243256661453542
Western Beef Supermarket,"130-35 Merrick Boulevard, Rochdale Village",40.6806838,-73.76168299999999,68682.0,2078.371665133395,2.009689665133395
"DFS John F. Kennedy International Airport, New York","John F. Kennedy International Airport, Terminal 4, Terminal 4 Departures 3rd Floor, Queens",40.6433939,-73.78195819999999,68682.0,2078.371665133395,2.009689665133395
Rochdale Outlet Department Store,"16520 Baisley Boulevard, Rochdale Village",40.67835959999999,-73.7772804,68682.0,2078.371665133395,2.009689665133395
Bed Bath Etc,"16598 Baisley Boulevard, Jamaica",40.678562,-73.7771289,68682.0,2078.371665133395,2.009689665133395
Walmart Supercenter,"77 Green Acres Road South, Valley Stream",40.6615739,-73.7268041,68682.0,2078.371665133395,2.009689665133395
Target,"500 Sunrise Highway, Valley Stream",40.6645869,-73.72075459999999,68682.0,2078.371665133395,2.009689665133395
HomeGoods,"750 Sunrise Highway, Valley Stream",40.664125,-73.7269893,68682.0,2078.371665133395,2.009689665133395
Burlington,"2034 Green Acres Mall, Valley Stream",40.6633399,-73.7271274,68682.0,2078.371665133395,2.009689665133395
Macy's,"1000 Green Acres Mall, Valley Stream",40.662918,-73.721903,68682.0,2078.371665133395,2.009689665133395
Macys Mens Store,"69 Green Acres Road South, Valley Stream",40.6615392,-73.7172066,68682.0,2078.371665133395,2.009689665133395
Sunglass Hut at Macy's,"1000 Green Acres Mall, Valley Stream",40.6630073,-73.7220707,68682.0,2078.371665133395,2.009689665133395
Primark,"2034 Green Acres Mall, 1051, Valley Stream",40.6620838,-73.71946729999999,68682.0,2078.371665133395,2.009689665133395
HomeGoods,"150 North Village Avenue, Rockville Centre",40.6613506,-73.6494787,97288.0,1734.9862005519778,1.6376982005519778
DII Deals & Discounts,"1717 Dutch Broadway Suite 7, Elmont",40.687901,-73.7059963,97288.0,1734.9862005519778,1.6376982005519778
Marshalls,"256 Sunrise Highway, Freeport",40.6572935,-73.57159949999999,97288.0,1734.9862005519778,1.6376982005519778
HomeGoods,"1644 Merrick Road, Merrick",40.65216110000001,-73.5593854,97288.0,1734.9862005519778,1.6376982005519778
Target,"248 Sunrise Highway, Freeport",40.6555389,-73.57178859999999,97288.0,1734.9862005519778,1.6376982005519778
Burlington,"222 Sunrise Highway, Freeport",40.6565812,-73.5726003,97288.0,1734.9862005519778,1.6376982005519778
Marco Department Store Inc,"835 Broad Street, Newark",40.734445,-74.173368,72727.0,1900.704347826087,1.827977347826087
Value Zone,"1040 Springfield Avenue, Irvington",40.7263025,-74.23078629999999,72727.0,1900.704347826087,1.827977347826087
Barney's Bargain Stores,"1327 Liberty Avenue, Hillside",40.69862670000001,-74.23205820000001,72727.0,1900.704347826087,1.827977347826087
Value Zone Department Store,"480 Chancellor Avenue, Irvington",40.7107529,-74.2287542,72727.0,1900.704347826087,1.827977347826087
99¢ Lot,"125 Avon Avenue, Newark",40.7244863,-74.1943099,72727.0,1900.704347826087,1.827977347826087
Value Zone Dept. Store Home Goods & Things,"325 Springfield Avenue, Newark",40.7336841,-74.19243449999999,72727.0,1900.704347826087,1.827977347826087
ABC Super Stores,"161 Ferry Street, Newark",40.7291733,-74.1585453,72727.0,1900.704347826087,1.827977347826087
Jembro Stores,"1745 Morris Avenue, Union",40.6948302,-74.25782629999999,72727.0,1900.704347826087,1.827977347826087
Burlington,"1701 Morris Avenue, Union",40.6954574,-74.2559356,72727.0,1900.704347826087,1.827977347826087
SaveSmart of Newark,"269 Ferry Street, Newark",40.7267028,-74.1505044,72727.0,1900.704347826087,1.827977347826087
Rhodeside & Harwell Inc,"502, 60 Park Place, Newark",40.7383481,-74.1690009,72727.0,1900.704347826087,1.827977347826087
Marshalls & HomeGoods,"701 New Jersey 440, Jersey City",40.7200665,-74.0962384,72727.0,1900.704347826087,1.827977347826087
Lot-Less,"2839 John F. Kennedy Boulevard, Jersey City",40.7319203,-74.0660525,57565.0,2686.2555066079294,2.6286905066079296
T.J. Maxx,"14 Wall Street, New York",40.7076082,-74.0104393,30967.0,2276.343612334802,2.245376612334802
Target,"100 14th Street, Jersey City",40.7326867,-74.0362548,57565.0,2686.2555066079294,2.6286905066079296
Macy's,"Newport Centre Mall, 20 Mall Drive East, Jersey City",40.72625199999999,-74.037353,57565.0,2686.2555066079294,2.6286905066079296
Bloomingdale's,"504 Broadway, New York",40.7221565,-73.9992178,57565.0,2686.2555066079294,2.6286905066079296
Lot-Less,"97 Chambers Street # 1805, New York",40.7148895,-74.0076218,57565.0,2686.2555066079294,2.6286905066079296
Kohl's,"40 Mall Drive East, Jersey City",40.7275599,-74.0368998,57565.0,2686.2555066079294,2.6286905066079296
Lot-Less,"299 Broadway # 4, New York",40.71521660000001,-74.0055893,61873.0,4548.237885462555,4.486364885462555
JCPenney,"10 Mall Drive West, Jersey City",40.72558959999999,-74.03844040000001,57565.0,2686.2555066079294,2.6286905066079296
Pearl River Mart,"452 Broadway, New York",40.720357,-74.0005647,57565.0,2686.2555066079294,2.6286905066079296
The White Gown,"62 Grand Street 4th Floor, New York",40.7223592,-74.0032725,57565.0,2686.2555066079294,2.6286905066079296
Marshalls,"206 Washington Street, New York",40.7134989,-74.01266509999999,57565.0,2686.2555066079294,2.6286905066079296
