Name,Address,Latitude,Longitude
Nordstrom Store,"60 East 14th Street, New York",40.7343917,-73.9903092
Target,"10 Union Square East, New York",40.7345854,-73.989688
Fat Albert,"774 Broadway, Brooklyn",40.7000122,-73.9411011
DII Deals & Discounts,"775 Manhattan Avenue, Brooklyn",40.7272194,-73.9529306
Target,"512 2nd Avenue, New York",40.74141579999999,-73.9780066
Telco Stores,"58-09 Myrtle Avenue, Ridgewood",40.7007,-73.900932
Shoppers World,"422 Knickerbocker Avenue, Brooklyn",40.6994705,-73.9198608
Lot-Less,"66-73 Fresh Pond Road, Ridgewood",40.7067179,-73.89687409999999
ABC Super Stores,"300 Wyckoff Avenue, Brooklyn",40.6993481,-73.9110407
Liberty Department Stores,"54-30 Myrtle Avenue, Ridgewood",40.6996363,-73.9095883
Extreme Department Store,"54-08 Myrtle Avenue, Ridgewood",40.6994188,-73.9102707
Sam's Closeout,"6005 Myrtle Avenue, Ridgewood",40.7007163,-73.89807789999999
Telco Stores,"6080 Myrtle Avenue, Flushing",40.7006247,-73.8954208
DII Deals & Discounts,"6642 Fresh Pond Road, Ridgewood",40.7075702,-73.8977933
Macy's,"9001 Queens Boulevard, Elmhurst",40.7343519,-73.87158769999999
Costco Wholesale,"6135 Junction Boulevard, Rego Park",40.73297249999999,-73.86275700000002
Target,"8801 Queens Boulevard, Elmhurst",40.7357181,-73.8744498
JCPenney,"92-59 59th Avenue, Elmhurst",40.73495399999999,-73.867778
Macy's Furniture Gallery,"88-01 Queens Boulevard, Elmhurst",40.735559,-73.8749122
T.J. Maxx,"6101 Junction Boulevard, Rego Park",40.7327795,-73.8633653
Marshalls,"96-05 Queens Boulevard, Rego Park",40.73061599999999,-73.86225449999999
Burlington,"9605 Queens Boulevard, Rego Park",40.731424,-73.8618461
Lot-Less,"9632 Queens Boulevard, Rego Park",40.72941919999999,-73.86145119999999
T.J. Maxx,"80 - 16 Cooper Avenue, Glendale",40.7093237,-73.86943769999999
HomeGoods,"71-19 80th Street, Glendale",40.7077453,-73.8685419
Sunglass Hut at Macy's,"90-01 Queens Boulevard, Elmhurst",40.7344037,-73.8713054
Primark,"90-15 Queens Boulevard, Queens",40.73422739999999,-73.8708643
Marshalls,"168-23 Jamaica Avenue, Jamaica",40.70695,-73.79155519999999
Target,"7000 Austin Street, Forest Hills",40.7208767,-73.8473538
JEMBRO,"107-25 71st Avenue, Flushing",40.7209777,-73.8447036
Aden Department Store,"90-63 Sutphin Boulevard, Jamaica",40.701273,-73.8076158
JAMAICA CRAZY HOT DEALS,"14908 Jamaica Avenue, Jamaica",40.7017938,-73.8052606
BRS 99C & UP VARIETY STORE INC,"160-15 Hillside Avenue, Jamaica",40.7082895,-73.8013576
Bottomline 57 Inc,"96-03 57th Avenue, Corona",40.737157,-73.864829
Burlington,"160-12 Jamaica Avenue, Jamaica",40.7037544,-73.79849999999999
Target,"160-08 Jamaica Avenue, Jamaica",40.70364259999999,-73.79847409999999
Primark,"162-10 Jamaica Avenue, Queens",40.7040841,-73.7971494
Telco Stores,"168-43 Jamaica Avenue, Jamaica",40.70708459999999,-73.7915089
Super V,"163-30 Jamaica Avenue, Jamaica",40.70491150000001,-73.7958807
